code,name,province,city,area,town
110111,韩村河镇,11,01,11,115000
110111,霞云岭乡,11,01,11,208000
110111,南窖乡,11,01,11,209000
110111,佛子庄乡,11,01,11,210000
110111,大安山乡,11,01,11,211000
110111,史家营乡,11,01,11,212000
110111,蒲洼乡,11,01,11,213000
110112,中仓街道,11,01,12,001000
110112,新华街道,11,01,12,002000
110112,北苑街道,11,01,12,003000
110112,玉桥街道,11,01,12,004000
110112,潞源街道,11,01,12,007000
110112,通运街道,11,01,12,008000
110112,文景街道,11,01,12,009000
110112,九棵树街道,11,01,12,010000
110112,临河里街道,11,01,12,011000
110112,杨庄街道,11,01,12,012000
110112,潞邑街道,11,01,12,013000
110112,宋庄镇,11,01,12,104000
110112,张家湾镇,11,01,12,105000
110112,漷县镇,11,01,12,106000
110112,马驹桥镇,11,01,12,109000
110112,西集镇,11,01,12,110000
110112,台湖镇,11,01,12,114000
110112,永乐店镇,11,01,12,117000
110112,潞城镇,11,01,12,119000
110112,永顺镇,11,01,12,120000
110112,梨园镇,11,01,12,121000
110112,于家务回族乡,11,01,12,209000
110113,胜利街道,11,01,13,001000
110113,光明街道,11,01,13,002000
110113,仁和地区,11,01,13,003000
110113,后沙峪地区,11,01,13,004000
110113,天竺地区,11,01,13,005000
110113,杨镇地区,11,01,13,006000
110113,牛栏山地区,11,01,13,007000
110113,南法信地区,11,01,13,008000
110113,马坡地区,11,01,13,009000
110113,石园街道,11,01,13,010000
110113,空港街道,11,01,13,011000
110113,双丰街道,11,01,13,012000
110113,旺泉街道,11,01,13,013000
110113,高丽营镇,11,01,13,101000
110113,李桥镇,11,01,13,104000
110113,李遂镇,11,01,13,105000
110113,南彩镇,11,01,13,106000
110113,北务镇,11,01,13,108000
110113,大孙各庄镇,11,01,13,109000
110113,张镇,11,01,13,110000
110113,龙湾屯镇,11,01,13,111000
110113,木林镇,11,01,13,112000
110113,北小营镇,11,01,13,113000
110113,北石槽镇,11,01,13,115000
110113,赵全营镇,11,01,13,116000
110114,城北街道,11,01,14,001000
110114,南口地区,11,01,14,002000
110114,马池口地区,11,01,14,003000
110114,沙河地区,11,01,14,004000
110114,城南街道,11,01,14,005000
110114,东小口地区,11,01,14,007000
110114,天通苑北街道,11,01,14,008000
110114,天通苑南街道,11,01,14,009000
110114,霍营街道,11,01,14,010000
110114,回龙观街道,11,01,14,011000
110114,龙泽园街道,11,01,14,012000
110114,史各庄街道,11,01,14,013000
110114,阳坊镇,11,01,14,104000
110114,小汤山镇,11,01,14,110000
110114,南邵镇,11,01,14,111000
110114,崔村镇,11,01,14,112000
110114,百善镇,11,01,14,113000
110114,北七家镇,11,01,14,115000
110114,兴寿镇,11,01,14,116000
110114,流村镇,11,01,14,118000
110114,十三陵镇,11,01,14,119000
110114,延寿镇,11,01,14,120000
110115,兴丰街道,11,01,15,001000
110115,林校路街道,11,01,15,002000
110115,清源街道,11,01,15,003000
110115,亦庄地区,11,01,15,004000
110115,黄村地区,11,01,15,005000
110115,旧宫地区,11,01,15,006000
110115,西红门地区,11,01,15,007000
110115,瀛海地区,11,01,15,008000
110115,观音寺街道,11,01,15,009000
110115,天宫院街道,11,01,15,010000
110115,高米店街道,11,01,15,011000
110115,荣华街道,11,01,15,012000
110115,博兴街道,11,01,15,013000
110115,青云店镇,11,01,15,103000
110115,采育镇,11,01,15,104000
110115,安定镇,11,01,15,105000
110115,礼贤镇,11,01,15,106000
110115,榆垡镇,11,01,15,107000
110115,庞各庄镇,11,01,15,108000
110115,北臧村镇,11,01,15,109000
110115,魏善庄镇,11,01,15,110000
110115,长子营镇,11,01,15,111000
110115,北京经济技术开发区,11,01,15,403000
110115,中关村国家自主创新示范区大兴生物医药产业基地,11,01,15,404000
110115,国家新媒体产业基地,11,01,15,405000
110115,大兴国际机场,11,01,15,406000
110116,泉河街道,11,01,16,001000
110116,龙山街道,11,01,16,002000
110116,怀柔地区,11,01,16,003000
110116,雁栖地区,11,01,16,004000
110116,庙城地区,11,01,16,005000
110116,北房镇,11,01,16,102000
110116,杨宋镇,11,01,16,103000
110116,桥梓镇,11,01,16,105000
110116,怀北镇,11,01,16,106000
110116,汤河口镇,11,01,16,107000
110116,渤海镇,11,01,16,108000
110116,九渡河镇,11,01,16,109000
110116,琉璃庙镇,11,01,16,110000
110116,宝山镇,11,01,16,111000
110116,长哨营满族乡,11,01,16,211000
110116,喇叭沟门满族乡,11,01,16,213000
110116,北京雁栖经济开发区,11,01,16,400000
110117,滨河街道,11,01,17,001000
110117,兴谷街道,11,01,17,002000
110117,渔阳地区,11,01,17,003000
110117,峪口地区,11,01,17,004000
110117,马坊地区,11,01,17,005000
